tokenID,name,description,file_name,external_url,attributes[Character Type],attributes[Gender],attributes[Origin],attributes[Eyes],attributes[Headwear],attributes[Hair],attributes[Hair Length],attributes[Facial Hair],attributes[Rarity Tier],attributes[Earrings],attributes[Facial Markings],attributes[Expression],attributes[Facial Structure]
124,Wall Street Trader #124,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,124.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,,Common,,,Smirk,Long
125,Wall Street Trader #125,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,125.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Sunglasses,,Spiky,Short,,Rare,,,Serious,Narrow
126,Wall Street Trader #126,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,126.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,,Common,,,Slight Smile,Long
127,Wall Street Trader #127,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,127.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Calm,Long
128,Wall Street Trader #128,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,128.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Slight Smile,Compact
129,Wall Street Trader #129,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,129.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Stubble,Common,,,Smirk,Long
130,Wall Street Trader #130,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,130.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Smirk,Wide
131,Wall Street Trader #131,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,131.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Slight Smile,Compact
132,Wall Street Trader #132,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,132.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Beard,Common,,,Slight Smile,Long
133,Wall Street Trader #133,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,133.png,https://commitprotocol.org/wall-street-traders/,Alien,Male,Pop Culture,Standard,,Straight,Short,,Rare,,,Serious,Compact
134,Wall Street Trader #134,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,134.png,https://commitprotocol.org/wall-street-traders/,Ape,Unspecified,Web3 Tribute,Standard,,,,,Legendary,,,Stern,Compact
135,Wall Street Trader #135,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,135.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Calm,Oval
136,Wall Street Trader #136,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,136.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Smirk,Soft
137,Wall Street Trader #137,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,137.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Grinning,Oval
138,Wall Street Trader #138,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,138.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,,Common,,,Grinning,Angular
139,Wall Street Trader #139,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,139.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Grinning,Oval
140,Wall Street Trader #140,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,140.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Stubble,Common,,,Smirk,Balanced
141,Wall Street Trader #141,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,141.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Grinning,Angular
142,Wall Street Trader #142,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,142.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Laser,,Straight,Long,,Legendary,,,Grinning,Compact
143,Wall Street Trader #143,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,143.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Slight Smile,Long
144,Wall Street Trader #144,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,144.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Grinning,Balanced
145,Wall Street Trader #145,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,145.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,Hijab,,,,Rare,,,Smirk,Soft
146,Wall Street Trader #146,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,146.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Long
147,Wall Street Trader #147,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,147.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Coily,Short,,Common,,,Smirk,Soft
148,Wall Street Trader #148,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,148.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Stern,Compact
149,Wall Street Trader #149,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,149.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Grinning,Angular
150,Wall Street Trader #150,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,150.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Thinning,Short,,Rare,,,Stern,Balanced
151,Wall Street Trader #151,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,151.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Beard,Common,,,Stern,Long
152,Wall Street Trader #152,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,152.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Smirk,Long
153,Wall Street Trader #153,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,153.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Angular
154,Wall Street Trader #154,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,154.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Ponytail,Long,,Rare,,,Smirk,Soft
155,Wall Street Trader #155,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,155.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Calm,Oval
156,Wall Street Trader #156,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,156.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Short,,Common,,,Stern,Oval
157,Wall Street Trader #157,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,157.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Stubble,Common,,,Slight Smile,Soft
158,Wall Street Trader #158,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,158.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,Mustache,Rare,,,Smirk,Soft
159,Wall Street Trader #159,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,159.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Smirk,Long
160,Wall Street Trader #160,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,160.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Mustache,Rare,,,Stern,Oval
161,Wall Street Trader #161,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,161.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Grinning,Long
162,Wall Street Trader #162,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,162.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Stern,Oval
163,Wall Street Trader #163,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,163.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Medium,,Common,,,Stern,Wide
164,Wall Street Trader #164,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,164.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Smirk,Oval
165,Wall Street Trader #165,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,165.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Spiky,Short,,Legendary,,Tribal Face Markings,Calm,Balanced
166,Wall Street Trader #166,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,166.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Calm,Balanced
167,Wall Street Trader #167,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,167.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Smirk,Soft
168,Wall Street Trader #168,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,168.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,,Common,,,Smirk,Soft
169,Wall Street Trader #169,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,169.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Stern,Round
170,Wall Street Trader #170,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,170.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Bald,,,Rare,,,Grinning,Angular
171,Wall Street Trader #171,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,171.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Calm,Long
172,Wall Street Trader #172,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,172.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Calm,Soft
173,Wall Street Trader #173,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,173.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Stern,Balanced
174,Wall Street Trader #174,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,174.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Thinning,Short,,Rare,,,Smirk,Angular
175,Wall Street Trader #175,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,175.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Medium,Beard,Common,,,Stern,Wide
176,Wall Street Trader #176,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,176.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Smirk,Wide
177,Wall Street Trader #177,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,177.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Slight Smile,Angular
178,Wall Street Trader #178,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,178.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Beard,Common,,,Smirk,Long
179,Wall Street Trader #179,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,179.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Pop Culture,Standard,,Straight,Long,,Rare,,Forehead Dots,Distinctive,Angular
180,Wall Street Trader #180,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,180.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Smirk,Wide
181,Wall Street Trader #181,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,181.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,,Common,,,Slight Smile,Oval
182,Wall Street Trader #182,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,182.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Beard,Common,,,Slight Smile,Long
183,Wall Street Trader #183,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,183.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Slight Smile,Round
184,Wall Street Trader #184,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,184.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Smirk,Oval
185,Wall Street Trader #185,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,185.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Smirk,Oval
186,Wall Street Trader #186,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,186.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Grinning,Narrow
187,Wall Street Trader #187,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,187.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Beard,Common,,,Calm,Long
188,Wall Street Trader #188,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,188.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Slight Smile,Wide
189,Wall Street Trader #189,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,189.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Serious,Compact
190,Wall Street Trader #190,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,190.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Grinning,Oval
191,Wall Street Trader #191,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,191.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Oval
192,Wall Street Trader #192,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,192.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Stern,Balanced
193,Wall Street Trader #193,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,193.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,,Common,,,Smirk,Long
194,Wall Street Trader #194,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,194.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Smirk,Compact
195,Wall Street Trader #195,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,195.png,https://commitprotocol.org/wall-street-traders/,Skeleton,Unspecified,Original,Hollow,,,,,Rare,,,Calm,Compact
196,Wall Street Trader #196,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,196.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Compact
197,Wall Street Trader #197,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,197.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Thinning,Short,,Rare,,,Grinning,Angular
198,Wall Street Trader #198,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,198.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Pop Culture,Standard,Hair Bow,Wavy,Long,,Legendary,,,Calm,Compact
199,Wall Street Trader #199,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,199.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Stern,Round
200,Wall Street Trader #200,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,200.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Slight Smile,Long
201,Wall Street Trader #201,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,201.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Stubble,Common,,,Smirk,Long
202,Wall Street Trader #202,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,202.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,Crown,Straight,Medium,,Legendary,,,Slight Smile,Oval
203,Wall Street Trader #203,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,203.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Thinning,Short,,Rare,,,Calm,Compact
204,Wall Street Trader #204,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,204.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,Stubble,Rare,,,Calm,Long
205,Wall Street Trader #205,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,205.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Spiky,Medium,,Legendary,,Freckles,Stern,Oval
206,Wall Street Trader #206,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,206.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Standard,,Spiky,Short,,Legendary,,Stitched Facial Scar,Stern,Oval
207,Wall Street Trader #207,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,207.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Stern,Oval
208,Wall Street Trader #208,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,208.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Smirk,Wide
209,Wall Street Trader #209,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,209.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Grinning,Compact
210,Wall Street Trader #210,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,210.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Grinning,Compact
211,Wall Street Trader #211,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,211.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Smirk,Soft
212,Wall Street Trader #212,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,212.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Beard,Common,,,Smirk,Long
213,Wall Street Trader #213,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,213.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Stern,Long
214,Wall Street Trader #214,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,214.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Stern,Compact
215,Wall Street Trader #215,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,215.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,,Common,,,Grinning,Compact
216,Wall Street Trader #216,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,216.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Stern,Long
217,Wall Street Trader #217,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,217.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,Kufi,,Short,Beard,Rare,,,Slight Smile,Compact
218,Wall Street Trader #218,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,218.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Stubble,Common,,,Slight Smile,Long
219,Wall Street Trader #219,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,219.png,https://commitprotocol.org/wall-street-traders/,Alien,Unspecified,Original,Alien,,,,,Rare,,,Neutral,Balanced
220,Wall Street Trader #220,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,220.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Medium,,Common,,,Calm,Wide
221,Wall Street Trader #221,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,221.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Stern,Wide
222,Wall Street Trader #222,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,222.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Stubble,Common,,,Slight Smile,Long
223,Wall Street Trader #223,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,223.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Goatee,Rare,,,Smirk,Soft
224,Wall Street Trader #224,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,224.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Spiky,Short,,Common,,,Slight Smile,Wide
225,Wall Street Trader #225,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,225.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Smirk,Balanced
226,Wall Street Trader #226,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,226.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Smirk,Wide
227,Wall Street Trader #227,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,227.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,,Common,,,Smirk,Soft
228,Wall Street Trader #228,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,228.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Goatee,Rare,,,Calm,Long
229,Wall Street Trader #229,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,229.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Wavy,Short,Stubble,Common,,,Stern,Long
230,Wall Street Trader #230,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,230.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Curly,Short,Stubble,Common,,,Smirk,Long
231,Wall Street Trader #231,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,231.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Short,,Common,,,Grinning,Soft
232,Wall Street Trader #232,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,232.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Grinning,Wide
233,Wall Street Trader #233,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,233.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Curly,Medium,,Common,,,Slight Smile,Compact
234,Wall Street Trader #234,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,234.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Spiky,Short,Beard,Common,,,Smirk,Soft
235,Wall Street Trader #235,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,235.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Straight,Long,,Common,,,Slight Smile,Wide
236,Wall Street Trader #236,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,236.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Coily,Short,Goatee,Rare,,,Smirk,Long
237,Wall Street Trader #237,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,237.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Bun,Long,,Rare,,,Smirk,Long
238,Wall Street Trader #238,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,238.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Straight,Long,,Common,,,Slight Smile,Long
239,Wall Street Trader #239,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,239.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,Turban,,,Beard,Legendary,,,Slight Smile,Compact
240,Wall Street Trader #240,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,240.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Calm,Oval
241,Wall Street Trader #241,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,241.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,,Common,,,Smirk,Soft
242,Wall Street Trader #242,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,242.png,https://commitprotocol.org/wall-street-traders/,Ape,Unspecified,Web3 Tribute,Laser,,,,,Legendary,,,Stern,Oval
243,Wall Street Trader #243,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,243.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Pop Culture,Scarlet Tomoe Eyes,,Spiky,Medium,,Legendary,,,Neutral,Round
244,Wall Street Trader #244,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,244.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Receding,Short,Stubble,Rare,,,Smirk,Soft
245,Wall Street Trader #245,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,245.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Laser,,Buzz Cut,Short,Beard,Legendary,,,Grinning,Soft
246,Wall Street Trader #246,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,246.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Ponytail,Long,,Rare,,,Stern,Oval
247,Wall Street Trader #247,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,247.png,https://commitprotocol.org/wall-street-traders/,Human,Female,Original,Standard,,Wavy,Long,,Common,,,Slight Smile,Balanced
248,Wall Street Trader #248,Wall Street Traders — 444 monochrome traders built with AI and curated by Commit Protocol.,248.png,https://commitprotocol.org/wall-street-traders/,Human,Male,Original,Standard,,Buzz Cut,Short,Goatee,Rare,,,Calm,Long
